0,35.7021,139.6951
1,35.659,139.7476
2,35.6678,139.7518
3,35.7068,139.7408
4,35.6973,139.699
5,35.6721,139.7411
6,35.6825,139.7555
7,35.6603,139.7371
8,35.6763,139.7503
9,35.6718,139.6936
10,35.6745,139.7056
11,35.683,139.7376
12,35.6848,139.6803
13,35.7151,139.6788
14,35.6891,139.6801
15,35.6906,139.6811
16,35.6916,139.6805
17,35.6955,139.6761
18,35.7075,139.6975
19,35.6903,139.7515
20,35.6766,139.7324
21,35.6706,139.7581
22,35.7066,139.7053
23,35.6711,139.7068
24,35.6603,139.7303
25,35.6883,139.7083
26,35.6871,139.7058
27,35.6946,139.7055
28,35.7075,139.742
29,35.7156,139.7576
30,35.6613,139.7381
31,35.6921,139.7576
32,35.691,139.7346
33,35.6915,139.6865
34,35.694,139.7615
35,35.6981,139.7065
36,35.6618,139.6868
37,35.68,139.7051
38,35.6918,139.7111
39,35.694,139.7121
40,35.7036,139.6853
41,35.7151,139.7513
42,35.6996,139.7183
43,35.6913,139.68
44,35.6726,139.7308
45,35.7013,139.7076
46,35.6778,139.7096
47,35.6991,139.764
48,35.6786,139.727
49,35.6601,139.7428
50,35.6646,139.7308
51,35.6791,139.7196
52,35.6745,139.7178
53,35.6798,139.6761
54,35.6691,139.7485
55,35.6816,139.7238
56,35.6696,139.726
57,35.704,139.6883
58,35.6985,139.6951
59,35.6668,139.744
60,35.6923,139.7123
61,35.6631,139.7613
62,35.6886,139.6985
63,35.7156,139.6778
64,35.7016,139.7308
65,35.6876,139.7596
66,35.7106,139.7235
67,35.6798,139.7543
68,35.7011,139.726
69,35.6898,139.7453
70,35.6766,139.7548
71,35.7043,139.7086
72,35.6788,139.7633
73,35.6871,139.7161
74,35.6721,139.7546
75,35.6663,139.7458
76,35.7098,139.7405
77,35.6781,139.7453
78,35.6741,139.6916
79,35.6631,139.7403
80,35.6828,139.6955
81,35.6695,139.6798
82,35.6893,139.7413
83,35.6876,139.7056
84,35.6726,139.7444
85,35.6733,139.7073
86,35.6803,139.7103
87,35.6646,139.7613
88,35.6815,139.7625
89,35.6725,139.7548
90,35.6773,139.7076
91,35.6599,139.7503
92,35.6631,139.724
93,35.696,139.7235
94,35.712,139.736
95,35.695,139.717
96,35.6673,139.7035
97,35.7146,139.6821
98,35.7025,139.735
99,35.6981,139.6783
100,35.699,139.6879
101,35.668,139.6908
102,35.6816,139.7636
103,35.6873,139.7631
